names,values
Band_57,0.09854875398945838
Band_16,0.07785397390900876
Band_14,0.050194877989117696
Band_47,0.042040990419919905
Band_42,0.03637653999375646
Band_58,0.0354207894502382
Band_59,0.030966039351633647
Band_23,0.028189652610880214
Band_35,0.02760278242160812
Band_4,0.025700779698916546
Band_24,0.02402012075686842
Band_54,0.023876523732008485
Band_29,0.021561280900784848
Band_2,0.020713091094419978
Band_13,0.019081329360137716
Band_55,0.018744437724221234
Band_27,0.018192655835236934
Band_5,0.017256758415883745
Band_46,0.017059064933385857
Band_55,0.01640364917668089
Band_48,0.01608789649901721
Band_3,0.015237638873135667
Band_43,0.013866658664704821
Band_7,0.013419796693308594
Band_30,0.01314469081391069
Band_4,0.012297488136551994
Band_56,0.012209193455726224
Band_6,0.011820437935775219
Band_49,0.011153223284263594
Band_39,0.010698580867676038
Band_53,0.01067731656461182
Band_5,0.010612414165315656
Band_10,0.010504212345088082
Band_56,0.010152962945351183
Band_20,0.010134643043492828
Band_9,0.008567768183220992
Band_1,0.008526644907213827
Band_54,0.008135290588608792
Band_7,0.008108078999775144
Band_27,0.007999211181518211
Band_61,0.007994907307599974
Band_33,0.007968532412250526
Band_50,0.007945698869644215
Band_52,0.007738336496110521
Band_51,0.007706590545028778
Band_31,0.007664953232412995
Band_41,0.007354343245762487
Band_19,0.007256281103356989
Band_38,0.00714740498167692
Band_34,0.0062325442627589435
Band_61,0.005942883564661724
Band_50,0.005787875781776337
Band_15,0.0057775620304751285
Band_16,0.005761461635093192
Band_37,0.0054632872937266375
Band_31,0.005244771380849666
Band_1,0.005126817733021313
Band_8,0.005014612974685581
Band_15,0.003950560015434506
Band_36,0.003762335221241009
