names,values
 sh_pol_relev_ethnic_gr_2019,0.11252359885974147
 ph_climate_risk_2020,0.05781907982470538
 ph_base_water_2010,0.05435226790380342
 ses_hf_delivery_2018,0.03689898989507365
 ph_pm25_2016,0.03536685401814709
 uu_bld_den_2020,0.034461491636814126
 ses_odef_2018,0.03406595496406442
 uu_bld_count_2020,0.029831055509853006
 fs_dist_hf_2019,0.02428307251935784
 ph_dist_open_coast_2020,0.02408631267215204
 ph_dist_riv_network_2007,0.024023936484939754
 sh_dist_mnr_pofw_2019,0.023330663831672097
 ph_grd_water_2000,0.022705402351346094
 in_night_light_2016,0.021566611176822566
 fs_dist_market_2020,0.021561665515005286
 sh_dist_pofw_2019,0.021536094990440596
 ses_pfpr_2017,0.019026889377698485
 sh_dist_conflict_2020,0.017708393441952953
 fs_dist_school_2020,0.01675958341905911
 ses_measles_2018,0.01642027130018966
 fs_dist_hf1_2020,0.01589729967783663
 fs_dist_school1_2018,0.014449830809334539
 fs_dist_mosques_2017,0.01427049463149025
 in_dist_rd_2016,0.012643799144917367
 sh_dist_pofw_2019,0.012572295699904095
 fs_dist_fs_2020,0.012541738850494154
 ph_dist_woody_tree_2015,0.012526918088396767
 ses_w_anemia_2018,0.01199862004193901
 fs_dist_mosques_2017,0.011097392664970583
 ses_an_visits_2016,0.010946250033246016
 fs_dist_market_2020,0.010813203997378782
 po_pop_un_2020,0.010767839747242713
 ph_dist_cultivated_2015,0.010749609900076793
 ph_hzd_index_2011,0.010284256303466379
 ses_impr_water_src_2016,0.010223697822518498
 ph_land_c1_2019,0.009475815813825608
 fs_electric_dist_2020,0.009186506599907085
 ses_unmet_need_2018,0.009064123789394796
 sh_ethno_den_2020,0.008521657933709703
 fs_dist_school1_2018,0.0084016869406776
 ph_dist_bare_2015,0.007594079121215753
 uu_urb_bldg_2018,0.007272798007919593
 ph_climate_risk_2020,0.007161309304398765
 ph_ndvi_2019,0.007033201513212419
 ph_bio_dvst_2015,0.006929028346739126
 ses_unmet_need_2018,0.006886574870635434
 ses_w_lit_2018,0.006819085823795978
 ses_preg_2017,0.006811915919028914
 sh_ethno_den_2020,0.006781782022711482
 fs_dist_well_2018,0.006491150215187702
 ph_max_tem_2019,0.006421190072401131
 po_pop_fb_2018,0.006174026323495329
 ses_dpt3_2018,0.006140169763532068
 ph_dist_woody_tree_2015,0.006111481966325839
 ph_slope_2000,0.006016417953263511
 sh_dist_mnr_pofw_2019,0.005722173337085735
 ph_bio_dvst_2015,0.005518818660199646
 uu_urb_bldg_2018,0.005456834735758832
 fs_dist_fs_2020,0.005250062246019721
 ph_land_c1_2019,0.0026466716135065886
