names,values
 sh_dist_mnr_pofw_2019,0.10822257854175488
 in_night_light_2016,0.07353893584021236
 in_dist_rd_intersect_2016,0.04610122553779694
 ses_an_visits_2016,0.039130077532313956
 ph_dist_cultivated_2015,0.03775389780553316
 ses_ITN_2016,0.0333260928295753
 ph_land_c2_2020,0.03275361074577616
 ph_dist_herb_2015,0.03121948243798788
 sh_ethno_den_2020,0.027491937494545347
 ses_w_anemia_2018,0.026800210342316385
 ph_dist_shrub_2015,0.026606341829343114
 sh_dist_pofw_2019,0.02550429152435698
long,0.02398120190807909
 fs_dist_fs_2020,0.023845449397793882
 ses_m_lit_2018,0.019355783328567917
 ses_w_lit_2018,0.018223365403909134
 ses_impr_water_src_2016,0.017758380981086588
 in_dist_rd_2016,0.017071292889268824
lat,0.016021857080767112
 ses_unmet_need_2018,0.01563112092099254
 fs_dist_hf_2019,0.015075034156363411
 fs_dist_market_2020,0.01429285243572902
 fs_dist_hf1_2020,0.014150747171228037
 ses_w_lit_2018,0.013595299521772328
 sh_dist_conflict_2020,0.012775833133860947
 fs_dist_hf_2019,0.012592834045063464
 ph_dist_riv_network_2007,0.01212065579434809
 ph_dist_aq_veg_2015,0.011912101645720397
 fs_dist_school1_2018,0.01169036935412121
 ses_pfpr_2017,0.01157851092959781
 sh_dist_conflict_2020,0.010735570425719373
index,0.010354288556013825
 ph_pm25_2016,0.009984075491321949
 ses_child_stunted_2018,0.009959452297288542
 fs_dist_fs_2020,0.009776721729133787
 ses_odef_2018,0.00972906450607486
 fs_dist_market_2020,0.009417259053399546
 ph_dist_sparse_veg_2015,0.009263580742083154
 ses_w_anemia_2018,0.009249318456684105
 ph_slope_2000,0.008551836676356676
 fs_dist_school_2020,0.008450381505876289
 ph_climate_risk_2020,0.0075385873216241
 in_night_light_2016,0.007418530159356974
 ses_measles_2018,0.007180605335901529
 ph_dist_riv_network_2007,0.006958355278542719
 fs_dist_mosques_2017,0.00678035691495817
 ses_preg_2017,0.006700389658602647
 ph_ndvi_2019,0.006176548704114198
 ph_dist_woody_tree_2015,0.005998901804191234
 ph_dist_woody_tree_2015,0.0055316846683507075
 ph_hzd_index_2011,0.005466728642479647
index,0.00544809961730493
 po_pop_un_2020,0.005446488250452677
 uu_bld_count_2020,0.004992612789188571
 in_dist_waterway_2016,0.00485478546153061
 ph_max_tem_2019,0.0046223745218981595
 ph_land_c1_2019,0.003853416738414904
 in_dist_waterway_2016,0.003334605971534098
 uu_bld_count_2020,0.0031841752998746954
 ses_odef_2018,0.002919830861944882
