names,values
gabor_sc3_filter_9,0.1774081060175233
sfs_sc31_max_ratio_of_orthogonal_angles,0.12563234665405343
orb_sc51_mean,0.06859072747550676
sfs_sc51_w_mean,0.05694946789435542
sfs_sc31_min_line_length,0.027303276884946846
pantex_sc3_min,0.026665622952548016
lsr_sc31_line_length,0.02176624500260349
sfs_sc31_w_mean,0.019246830826225986
hog_sc7_variance,0.018770755773177248
sfs_sc71_mean,0.01754093114334061
lac_sc3_lac,0.01609788585446704
orb_sc31_skew,0.015587406695538793
fourier_sc31_variance,0.01545320303405432
gabor_sc3_variance,0.014647818530830078
orb_sc31_kurtosis,0.014049872724045077
orb_sc31_kurtosis,0.013623442709715125
orb_sc31_max,0.013031086932801033
lsr_sc31_line_length,0.012796094120445438
orb_sc51_skew,0.012519657838489195
gabor_sc7_filter_8,0.012217399282203162
fourier_sc31_mean,0.011365833629829946
orb_sc51_variance,0.010049303187241293
lac_sc5_lac,0.010005644890048728
fourier_sc71_variance,0.009998697596592993
sfs_sc71_min_line_length,0.009618690280537964
hog_sc7_skew,0.009589442377380311
lsr_sc31_line_length,0.008738228982753296
lsr_sc51_line_length,0.008706582706115289
ndvi_sc3_variance,0.008482926726433629
pantex_sc3_min,0.008479767126703135
gabor_sc7_variance,0.008348312724350911
hog_sc5_skew,0.008329697407354899
hog_sc7_kurtosis,0.008241026497012494
sfs_sc51_w_mean,0.008034790182140405
orb_sc51_kurtosis,0.007926080398855081
ndvi_sc3_variance,0.00766959485191775
orb_sc31_variance,0.007619303240549875
orb_sc71_max,0.007593086863411197
orb_sc51_variance,0.007208465486004299
hog_sc3_variance,0.007090770118134433
lsr_sc51_line_mean,0.007089372443440781
sfs_sc71_min_line_length,0.007054664427874521
hog_sc5_kurtosis,0.0070224708629130096
lac_sc5_lac,0.006907166688913228
sfs_sc31_std,0.0068669198934405914
sfs_sc31_std,0.006756044863792994
lbpm_sc3_max,0.0066821977248152
sfs_sc51_max_line_length,0.006457800963491896
sfs_sc31_mean,0.00642360725772709
lsr_sc31_line_mean,0.006276909822484972
sfs_sc51_max_line_length,0.006256907923428571
lac_sc7_lac,0.006240456143229442
sfs_sc51_w_mean,0.0061458935211669745
pantex_sc3_min,0.006081812070927203
lac_sc7_lac,0.006022699271649676
lsr_sc51_line_mean,0.005858161184109643
sfs_sc51_min_line_length,0.005816118092600599
sfs_sc31_mean,0.005788126830705468
hog_sc3_kurtosis,0.005770347288694017
hog_sc5_skew,0.0054878991043556475
